tourney_name,surface,tourney_level,winner_id,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_hand,loser_ht,loser_ioc,loser_age,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
United Cup,Hard,A,105554,R,175.0,GBR,32.6,105077,L,188.0,ESP,34.9,3,RR,139.0,5.0,1.0,73.0,41.0,32.0,15.0,13.0,2.0,5.0,3.0,3.0,82.0,49.0,32.0,14.0,12.0,4.0,7.0
United Cup,Hard,A,111815,L,188.0,GBR,27.3,200282,R,183.0,AUS,23.8,3,RR,115.9994992488733,4.0,1.0,56.0,30.0,26.0,14.0,9.0,4.0,4.0,3.0,1.0,55.0,28.0,19.0,14.0,9.0,6.0,9.0
United Cup,Hard,A,106186,R,178.0,AUS,29.6,105554,R,175.0,GBR,32.6,3,RR,110.0,11.0,1.0,67.0,42.0,30.0,15.0,11.0,2.0,4.0,3.0,2.0,64.0,36.0,26.0,13.0,10.0,1.0,4.0
United Cup,Hard,A,126610,R,196.0,ITA,26.7,106329,L,183.0,BRA,28.5,3,RR,115.0,15.0,1.0,64.0,43.0,38.0,14.0,11.0,0.0,0.0,4.0,2.0,72.0,43.0,31.0,20.0,11.0,1.0,2.0
United Cup,Hard,A,207518,R,185.0,ITA,20.8,200335,R,185.0,BRA,24.8,3,RR,115.9994992488733,9.0,1.0,55.0,31.0,22.0,15.0,10.0,1.0,3.0,1.0,2.0,50.0,33.0,19.0,8.0,9.0,0.0,4.0
United Cup,Hard,A,126610,R,196.0,ITA,26.7,134770,R,183.0,NOR,24.0,3,RR,86.0,10.0,2.0,60.0,40.0,35.0,9.0,10.0,2.0,2.0,4.0,0.0,52.0,41.0,31.0,4.0,10.0,0.0,2.0
United Cup,Hard,A,207518,R,185.0,ITA,20.8,126340,R,185.0,NOR,25.7,3,RR,108.0,7.0,1.0,69.0,42.0,35.0,16.0,11.0,1.0,2.0,6.0,3.0,81.0,45.0,28.0,19.0,10.0,8.0,10.0
United Cup,Hard,A,134770,R,183.0,NOR,24.0,106329,L,183.0,BRA,28.5,3,RR,71.0,8.0,1.0,49.0,36.0,24.0,8.0,9.0,2.0,4.0,2.0,5.0,41.0,27.0,16.0,3.0,8.0,1.0,6.0
United Cup,Hard,A,200335,R,185.0,BRA,24.8,126340,R,185.0,NOR,25.7,3,RR,87.0,5.0,0.0,59.0,41.0,31.0,11.0,9.0,1.0,1.0,11.0,5.0,73.0,41.0,28.0,11.0,9.0,3.0,6.0
United Cup,Hard,A,106432,R,188.0,CRO,26.1,126239,R,196.0,FRA,27.4,3,RR,113.0,10.0,1.0,65.0,43.0,40.0,15.0,12.0,1.0,2.0,8.0,3.0,81.0,51.0,36.0,17.0,12.0,2.0,3.0
United Cup,Hard,A,127339,R,196.0,CRO,24.8,105173,L,183.0,FRA,34.5,3,RR,170.0,14.0,4.0,110.0,72.0,57.0,17.0,16.0,1.0,4.0,9.0,1.0,104.0,63.0,51.0,21.0,17.0,3.0,5.0
United Cup,Hard,A,126239,R,196.0,FRA,27.4,202103,R,185.0,ARG,24.3,3,RR,115.9994992488733,2.0,1.0,64.0,43.0,30.0,11.0,9.0,0.0,0.0,1.0,3.0,57.0,37.0,22.0,10.0,9.0,4.0,7.0
United Cup,Hard,A,105173,L,183.0,FRA,34.5,105948,R,180.0,ARG,30.8,3,RR,62.0,6.0,0.0,44.0,30.0,23.0,7.0,7.0,2.0,3.0,2.0,2.0,56.0,37.0,16.0,5.0,6.0,4.0,10.0
United Cup,Hard,A,106432,R,188.0,CRO,26.1,202103,R,185.0,ARG,24.3,3,RR,128.0,4.0,2.0,81.0,51.0,37.0,12.0,11.0,8.0,10.0,2.0,1.0,70.0,50.0,31.0,8.0,11.0,5.0,9.0
United Cup,Hard,A,127339,R,196.0,CRO,24.8,105948,R,180.0,ARG,30.8,3,RR,97.0,6.0,3.0,66.0,47.0,37.0,10.0,11.0,0.0,0.0,0.0,0.0,81.0,50.0,37.0,15.0,11.0,3.0,4.0
Adelaide 1,Hard,A,104925,R,188.0,SRB,35.6,200624,R,196.0,USA,22.4,3,F,189.0,7.0,4.0,99.0,62.0,53.0,25.0,17.0,1.0,2.0,15.0,4.0,129.0,76.0,59.0,27.0,17.0,5.0,7.0
Adelaide 1,Hard,A,104925,R,188.0,SRB,35.6,106421,R,198.0,RUS,26.8,3,SF,90.0,5.0,3.0,61.0,35.0,31.0,14.0,10.0,3.0,3.0,5.0,2.0,48.0,31.0,23.0,9.0,9.0,1.0,3.0
Adelaide 1,Hard,A,200624,R,196.0,USA,22.4,106415,L,170.0,JPN,27.2,3,SF,74.0,9.0,0.0,40.0,23.0,21.0,10.0,6.0,0.0,0.0,0.0,0.0,54.0,40.0,29.0,6.0,7.0,3.0,4.0
Adelaide 1,Hard,A,104925,R,188.0,SRB,35.6,133430,L,185.0,CAN,23.7,3,QF,115.0,4.0,3.0,70.0,40.0,31.0,16.0,10.0,3.0,4.0,6.0,7.0,72.0,38.0,25.0,14.0,9.0,5.0,8.0
Adelaide 1,Hard,A,106421,R,198.0,RUS,26.8,111575,R,198.0,RUS,26.6,3,QF,77.0,6.0,5.0,51.0,33.0,29.0,7.0,9.0,2.0,3.0,1.0,2.0,60.0,42.0,25.0,6.0,9.0,3.0,7.0
Adelaide 1,Hard,A,200624,R,196.0,USA,22.4,206173,R,188.0,ITA,21.3,3,QF,86.0,5.0,1.0,52.0,30.0,25.0,12.0,9.0,3.0,4.0,8.0,3.0,53.0,34.0,23.0,6.0,10.0,4.0,9.0
Adelaide 1,Hard,A,106415,L,170.0,JPN,27.2,200615,R,196.0,AUS,23.4,3,QF,166.0,2.0,1.0,106.0,75.0,57.0,19.0,16.0,2.0,4.0,27.0,4.0,103.0,68.0,56.0,12.0,16.0,6.0,10.0
Adelaide 1,Hard,A,104925,R,188.0,SRB,35.6,111460,R,191.0,FRA,26.1,3,R16,115.0,10.0,4.0,76.0,50.0,44.0,14.0,12.0,0.0,1.0,11.0,2.0,82.0,48.0,39.0,16.0,12.0,4.0,5.0
Adelaide 1,Hard,A,133430,L,185.0,CAN,23.7,126128,R,185.0,RUS,25.4,3,R16,81.0,7.0,2.0,44.0,25.0,21.0,13.0,9.0,0.0,1.0,3.0,3.0,70.0,45.0,29.0,11.0,10.0,7.0,11.0
Adelaide 1,Hard,A,106421,R,198.0,RUS,26.8,200175,R,183.0,SRB,23.3,3,R16,67.0,7.0,3.0,51.0,38.0,29.0,7.0,8.0,1.0,1.0,0.0,0.0,42.0,31.0,13.0,6.0,7.0,3.0,7.0
Adelaide 1,Hard,A,111575,R,198.0,RUS,26.6,207733,L,191.0,GBR,21.0,3,R16,91.0,7.0,1.0,53.0,39.0,32.0,9.0,9.0,1.0,1.0,6.0,3.0,67.0,36.0,20.0,17.0,9.0,6.0,9.0
Adelaide 1,Hard,A,206173,R,188.0,ITA,21.3,106423,R,196.0,AUS,26.7,3,R16,122.0,5.0,2.0,78.0,58.0,40.0,12.0,11.0,6.0,7.0,9.0,3.0,72.0,45.0,33.0,13.0,11.0,1.0,3.0
Adelaide 1,Hard,A,200624,R,196.0,USA,22.4,105138,R,183.0,ESP,34.7,3,R16,73.0,12.0,0.0,57.0,41.0,33.0,10.0,10.0,2.0,2.0,5.0,3.0,47.0,26.0,20.0,12.0,10.0,0.0,2.0
Adelaide 1,Hard,A,106415,L,170.0,JPN,27.2,111456,R,178.0,USA,27.7,3,R16,95.0,0.0,2.0,72.0,49.0,29.0,17.0,9.0,4.0,4.0,3.0,2.0,57.0,36.0,26.0,8.0,10.0,1.0,4.0
Adelaide 1,Hard,A,200615,R,196.0,AUS,23.4,106218,R,180.0,USA,29.4,3,R16,112.0,16.0,1.0,83.0,58.0,49.0,13.0,15.0,2.0,3.0,4.0,0.0,79.0,61.0,43.0,11.0,14.0,1.0,3.0
Adelaide 1,Hard,A,104925,R,188.0,SRB,35.6,106005,R,180.0,FRA,30.6,3,R32,74.0,4.0,2.0,47.0,29.0,25.0,13.0,9.0,1.0,1.0,3.0,1.0,56.0,39.0,22.0,10.0,8.0,5.0,8.0
Adelaide 1,Hard,A,111460,R,191.0,FRA,26.1,111442,R,183.0,AUS,28.7,3,R32,76.0,14.0,2.0,47.0,30.0,27.0,13.0,10.0,0.0,0.0,5.0,4.0,65.0,38.0,26.0,12.0,9.0,3.0,5.0
Adelaide 1,Hard,A,126128,R,185.0,RUS,25.4,144707,R,183.0,SWE,24.3,3,R32,94.0,4.0,3.0,65.0,40.0,31.0,13.0,9.0,5.0,5.0,2.0,3.0,61.0,36.0,20.0,13.0,9.0,5.0,8.0
Adelaide 1,Hard,A,133430,L,185.0,CAN,23.7,208014,U,186.5462915601023,AUS,21.8,3,R32,120.0,7.0,9.0,77.0,42.0,30.0,18.0,13.0,5.0,8.0,2.0,5.0,93.0,58.0,43.0,12.0,14.0,8.0,12.0
Adelaide 1,Hard,A,106421,R,198.0,RUS,26.8,132283,R,191.0,ITA,27.6,3,R32,102.0,5.0,2.0,70.0,45.0,30.0,15.0,8.0,9.0,10.0,1.0,1.0,57.0,32.0,25.0,11.0,7.0,3.0,4.0
Adelaide 1,Hard,A,200175,R,183.0,SRB,23.3,106331,R,183.0,AUS,28.5,3,R32,94.0,4.0,4.0,74.0,42.0,24.0,23.0,10.0,5.0,6.0,9.0,2.0,55.0,31.0,23.0,9.0,10.0,2.0,5.0
Adelaide 1,Hard,A,207733,L,191.0,GBR,21.0,126952,R,180.0,KOR,25.0,3,R32,68.0,8.0,2.0,35.0,18.0,16.0,13.0,7.0,3.0,3.0,2.0,3.0,52.0,24.0,12.0,10.0,8.0,7.0,12.0
Adelaide 1,Hard,A,111575,R,198.0,RUS,26.6,106398,R,185.0,ARG,27.7,3,R32,85.0,6.0,3.0,61.0,34.0,30.0,12.0,9.0,6.0,7.0,3.0,2.0,57.0,40.0,24.0,6.0,9.0,8.0,12.0
Adelaide 1,Hard,A,206173,R,188.0,ITA,21.3,106378,R,188.0,GBR,27.9,3,R32,65.0,5.0,1.0,41.0,25.0,23.0,13.0,9.0,0.0,0.0,1.0,2.0,48.0,21.0,15.0,11.0,8.0,1.0,4.0
Adelaide 1,Hard,A,106423,R,196.0,AUS,26.7,202195,R,198.0,USA,25.6,3,R32,131.0,21.0,0.0,72.0,52.0,45.0,13.0,12.0,3.0,4.0,20.0,8.0,82.0,50.0,38.0,19.0,12.0,5.0,6.0
Adelaide 1,Hard,A,200624,R,196.0,USA,22.4,104918,R,190.0,GBR,35.6,3,R32,116.0,12.0,1.0,64.0,39.0,34.0,14.0,11.0,4.0,5.0,3.0,2.0,69.0,36.0,27.0,14.0,10.0,3.0,5.0
Adelaide 1,Hard,A,105138,R,183.0,ESP,34.7,126094,R,188.0,RUS,25.2,3,R32,109.0,8.0,1.0,79.0,54.0,40.0,17.0,15.0,2.0,4.0,15.0,6.0,81.0,52.0,40.0,11.0,14.0,2.0,5.0
Adelaide 1,Hard,A,106415,L,170.0,JPN,27.2,208029,R,185.0,DEN,19.6,3,R32,125.0,0.0,8.0,86.0,54.0,36.0,16.0,14.0,5.0,9.0,14.0,8.0,95.0,57.0,40.0,16.0,14.0,7.0,11.0
Adelaide 1,Hard,A,111456,R,178.0,USA,27.7,123755,R,191.0,COL,26.5,3,R32,40.0,4.0,1.0,20.0,14.0,14.0,2.0,4.0,0.0,0.0,2.0,1.0,39.0,25.0,16.0,6.0,5.0,0.0,2.0
Adelaide 1,Hard,A,106218,R,180.0,USA,29.4,104755,R,185.0,FRA,36.5,3,R32,177.0,13.0,2.0,110.0,76.0,59.0,23.0,18.0,2.0,3.0,10.0,4.0,139.0,74.0,51.0,38.0,18.0,10.0,12.0
Adelaide 1,Hard,A,200615,R,196.0,AUS,23.4,200000,R,193.0,CAN,22.4,3,R32,114.0,11.0,2.0,67.0,45.0,35.0,13.0,11.0,1.0,2.0,7.0,2.0,66.0,45.0,33.0,11.0,11.0,2.0,4.0
Pune,Hard,A,134868,R,188.0,NED,26.5,126127,R,185.0,FRA,26.5,3,F,136.0,17.0,4.0,86.0,61.0,48.0,13.0,15.0,3.0,4.0,11.0,4.0,102.0,66.0,47.0,18.0,16.0,4.0,7.0
Pune,Hard,A,134868,R,188.0,NED,26.5,106234,R,185.0,RUS,29.3,3,SF,81.0,11.0,2.0,53.0,36.0,32.0,13.0,10.0,0.0,0.0,3.0,5.0,59.0,31.0,22.0,14.0,9.0,3.0,5.0
Pune,Hard,A,126127,R,185.0,FRA,26.5,122298,R,188.0,NED,27.2,3,SF,149.0,10.0,3.0,101.0,71.0,54.0,16.0,16.0,0.0,2.0,9.0,3.0,106.0,69.0,49.0,17.0,15.0,7.0,11.0
Pune,Hard,A,106234,R,185.0,RUS,29.3,124079,R,185.0,ESP,25.6,3,QF,73.0,13.0,3.0,58.0,40.0,33.0,6.0,8.0,5.0,5.0,1.0,3.0,44.0,26.0,15.0,6.0,7.0,4.0,8.0
Pune,Hard,A,126127,R,185.0,FRA,26.5,105936,R,185.0,SRB,30.8,3,QF,125.0,7.0,0.0,77.0,46.0,30.0,15.0,11.0,2.0,5.0,6.0,3.0,90.0,50.0,29.0,20.0,11.0,10.0,14.0
Pune,Hard,A,122298,R,188.0,NED,27.2,109739,L,191.0,GER,27.5,3,QF,67.0,3.0,1.0,44.0,34.0,29.0,7.0,9.0,0.0,0.0,1.0,1.0,51.0,37.0,22.0,7.0,9.0,2.0,5.0
Pune,Hard,A,105227,R,198.0,CRO,34.2,106148,R,183.0,ESP,29.7,3,R16,122.0,16.0,3.0,76.0,54.0,45.0,9.0,13.0,2.0,3.0,3.0,3.0,74.0,40.0,26.0,18.0,12.0,4.0,7.0
